[[wikidata:Q12252830]],Afrika Bibang,abeslari bizkaitarra
[[wikidata:Q60607868]],Ainhoa Larrañaga,Aktorea eta abeslaria
[[wikidata:Q48215633]],Amaia Miranda,musikaria
[[wikidata:Q12253292]],Amaia Riouspeyrous,euskal abeslaria
[[wikidata:Q2840909]],Amaia Zubiria,Euskal abeslaria
[[wikidata:Q114608832]],Amooma,Bilboko musika taldea
[[wikidata:Q3325380]],Anari,"Euskal abeslaria, konpositorea eta idazlea"
[[wikidata:Q106917846]],Andrakan,Elgoibarko musika taldea
[[wikidata:Q30155905]],Aneguria,rap abeslaria
[[wikidata:Q12253588]],Anne Etxegoien,euskal herritar abeslaria eta abestigilea
[[wikidata:Q89360422]],Anne Lukin,abeslaria
[[wikidata:Q103795630]],Arima Soul,Zarauzko eta Donostiako musika taldea
[[wikidata:Q28464705]],Arkaitz Miner,euskal musikaria
[[wikidata:Q12254252]],Jexux Artze,"txalapartaria, Ez dok Amairu taldeko kidea"
[[wikidata:Q109985874]],Astoturfer,Durangoko musika taldea
[[wikidata:Q109970763]],Bastardix,Iruñeko folk rock taldea
[[wikidata:Q2900563]],Beñat Axiari,abeslari baxenafartarra
[[wikidata:Q41484221]],Beñat Igerabide,gipuzkoar abeslaria
[[wikidata:Q3752508]],Benito Lertxundi,euskal musika taldea
[[wikidata:Q952245]],Berri Txarrak,euskal musika taldea
[[wikidata:Q830929]],Betagarri,euskal musika taldea
[[wikidata:Q8247235]],Beti Mugan,euskal musika taldea
[[wikidata:Q115625266]],Betizu Taldea,euskal musika taldea
[[wikidata:Q61361518]],Bi Bala,euskal musika taldea
[[wikidata:Q110589615]],Big Bob Railroad,Donostiako blues musika taldea
[[wikidata:Q12255289]],Bittor Egurrola,euskal abeslaria
[[wikidata:Q65216132]],Brigade Loco,Bergarako punk-rock taldea
[[wikidata:Q114353194]],Buitraker,"Iruñeko euskal musika taldea izan zen, 1992an sortu eta 2000ko hamarkadaren erdialdera desegin zena"
[[wikidata:Q105279583]],Chill Mafia,Iruñerriko euskal trap musika taldea
[[wikidata:Q12256072]],Danba,Musika talde laudiotarra
[[wikidata:Q84137098]],Dantzut,1995ean Ermuan sortutako rock taldea
[[wikidata:Q97206406]],Diabolo Kiwi,Donibane Garaziko funk musika taldea
[[wikidata:Q98929944]],Don Inorrez,Tolosako musika taldea
[[wikidata:Q3396250]],Dut,musika taldea
[[wikidata:Q81043891]],Ekhi Lambert,Irulegiko abeslaria
[[wikidata:Q104671592]],Eli Bujanda,Zegamako abeslaria
[[wikidata:Q12256819]],En tol sarmiento,Musika taldea
[[wikidata:Q3328435]],Eñaut Elorrieta,abeslari bizkaitarra
[[wikidata:Q83986484]],Eneritz Furyak,gipuzkoar egile abeslari eta musikaria
[[wikidata:Q12257077]],Erramun Martikorena,Euskal abeslaria
[[wikidata:Q109331806]],Esti Markez,gipuzkoar abeslaria
[[wikidata:Q12257307]],Estitxu,Euskal abeslaria
[[wikidata:Q12257307]],Estitxu,Euskal abeslaria
[[wikidata:Q1350622]],Fermin Muguruza,Irundar musikari ospetsua
[[wikidata:Q658188]],Gatibu,Bizkaiko rock taldea
[[wikidata:Q30149753]],Gatom,abeslari espainiarra
[[wikidata:Q12258635]],Gontzal Mendibil,"euskal musikari, abesklari  eta idazlea"
[[wikidata:Q12258711]],Gozategi,Trikiti eta pop musika 1992tik egiten duen taldea
[[wikidata:Q9003293]],Hertzainak,1980-90 hamarkadetako euskal rock musika taldea
[[wikidata:Q12259115]],Hibai Rekondo,egile abeslari espainiarra
[[wikidata:Q101584169]],Hor Konpon,Oñatiko musika taldea
[[wikidata:Q101172217]],Ibai Marin,"abeslaria eta gitarra jotzailea, Donostian jaioa, rock estilokoa"
[[wikidata:Q29869351]],Igor Arzuaga,arabar musikari eta bakarlaria
[[wikidata:Q30149750]],Igor San Juan,abeslari espainiarra
[[wikidata:Q12259506]],Iker Goenaga,abeslaria eta trikitilaria
[[wikidata:Q29297174]],Iker Lauroba,donostiar abeslaria
[[wikidata:Q105779305]],Iñaki Palacios,Gasteizko musikaria
[[wikidata:Q12259725]],Iratxe Mugire,egile abeslari espainiarra
[[wikidata:Q961052]],Itoiz,70-80 hamarkadetako euskal pop musika taldea
[[wikidata:Q116193323]],J Martina,Larrabetzuko musika taldea
[[wikidata:Q12260312]],Jean Mixel Bedaxagar,Zuberoako musikaria
[[wikidata:Q58070738]],Jokin Lasa,Lazkaoko musikaria
[[wikidata:Q45320267]],Jon Bergaretxe,egile abeslari espainiarra
[[wikidata:Q42303536]],Jon Gurrutxaga,gipuzkoar musikari eta bakarlaria
[[wikidata:Q42408542]],Joseba B. Lenoir,nafar musikaria
[[wikidata:Q21693967]],Joseba Irazoki,musikaria
[[wikidata:Q3184006]],Joseba Tapia,Euskal trikitilari eta musikaria
[[wikidata:Q100376270]],Kai Nakai,musika urbanoa lantzen duen arabar abeslaria eta musikagilea
[[wikidata:Q110112862]],Klak!son,2005ean Zumarraga-Urretxu eta Antzuola artean sortutako Euskal Rock talde bat da
[[wikidata:Q1549224]],Kortatu,80ko hamarkadako euskal rock taldea
[[wikidata:Q115638304]],Kosmai Kosin,Hondarribiako musika taldea
[[wikidata:Q30149754]],La Basu,Rap abeslari bilbotarra
[[wikidata:Q105780268]],Larru Beltzak,Oñatiko musika taldea
[[wikidata:Q105780434]],Laukatu,Gernikako musika taldea
[[wikidata:Q31188314]],Lauroba,euskal musika taldea
[[wikidata:Q114572336]],Lülü Smack,Baionako musika taldea
[[wikidata:Q9026250]],M-ak,1980-1990 urteetako euskal rock taldea
[[wikidata:Q114595666]],Mainlander,Azpeitiko musika taldea
[[wikidata:Q12262883]],Maite Idirin,euskal abeslaria
[[wikidata:Q56843216]],Maite Larburu,"biolin-jotzaile, abeslaria eta konpositorea"
[[wikidata:Q29995066]],Maria Rivero,bizkaitar abeslaria
[[wikidata:Q50826127]],Markos Untzeta,Eibarko musikaria
[[wikidata:Q60457636]],Mattin Lerissa,euskal abeslaria
[[wikidata:Q46455787]],Mikel Gorosabel,Eibarko abeslaria
[[wikidata:Q104671614]],Mikel Iraeta,Azkoitiko musikaria
[[wikidata:Q29995044]],Mikel Karton,donostiar abeslaria
[[wikidata:Q9033056]],Mikel Markez,Errenteriako musikaria
[[wikidata:Q51761510]],Mikel Uraken,Bilboko abeslaria
[[wikidata:Q101584165]],Mila Modu,Oñatiko musika taldea
[[wikidata:Q12263731]],Mixel Etxekopar,euskal musikaria
[[wikidata:Q113582630]],Moonshine Wagon,Gasteizko musika taldea
[[wikidata:Q81042372]],Mrs. Jayden,Iruñeko ska taldea
[[wikidata:Q30156174]],Mursego,musikaria
[[wikidata:Q31188474]],Napoka Iria,Musika taldea
[[wikidata:Q105778306]],Nastelen,Alkiza eta Lazkaoko musika taldea
[[wikidata:Q109977729]],Nax Agirre,Arrigorriagako abeslaria
[[wikidata:Q762674]],Negu Gorriak,euskal musika taldea
[[wikidata:Q114345720]],Neomak,Gipuzkoako folk taldea
[[wikidata:Q106714095]],Nhil,Aretxabaletako musika taldea
[[wikidata:Q7035412]],Niko Etxart,Zuberoako euskal musikaria
[[wikidata:Q115633807]],Olaia Inziarte,euskal abeslaria
[[wikidata:Q47543182]],Olatz Salvador,musikari eta kantautorea
[[wikidata:Q12265096]],Olatz Zugasti,abeslari gipuzkoarra
[[wikidata:Q12265338]],Oskarbi,euskal musika taldea
[[wikidata:Q1550390]],Oskorri,Bizkaiko folk musika taldea
[[wikidata:Q62567011]],Patxi Villamor,arabar abeslaria eta abestigilea
[[wikidata:Q29995075]],Paxkal Irigoyen,baxenafar abeslaria
[[wikidata:Q12265715]],Peio Ospital,abeslari lapurtarra
[[wikidata:Q3374407]],Peio Serbielle,abeslari zuberotarra
[[wikidata:Q115669315]],Peru Galbete,musikaria
[[wikidata:Q12265937]],Pier Paul Berzaitz,abeslaria
[[wikidata:Q47824065]],Pottors ta Klito,Punk feminista euskal taldea
[[wikidata:Q61362679]],Rotten Amairu,Tafallako musika taldea
[[wikidata:Q2425000]],Ruper Ordorika,euskal musikaria
[[wikidata:Q47498285]],Sara Azurza,abeslari donostiarra
[[wikidata:Q95404944]],Sara Zozaya,euskal musikaria
[[wikidata:Q103796075]],Silicies Grizzlies,musika taldea
[[wikidata:Q31188006]],Skabidean,Musika taldea
[[wikidata:Q48888359]],Sonakay,Euskal-Ijitu musika taldea
[[wikidata:Q3752284]],Sorkun,abeslari errenteriarra
[[wikidata:Q3056492]],Su Ta Gar,euskal rock taldea
[[wikidata:Q110739718]],The Lio,Nafarroako punkrock musika taldea
[[wikidata:Q5399233]],Thierry Biscary,euskal abeslaria
[[wikidata:Q46457133]],Txilly,rap abeslaria
[[wikidata:Q12268409]],Txomin Artola,Euskal musikaria
[[wikidata:Q114930634]],Txomin Catalogne,Nafarroa Behereko musikaria
[[wikidata:Q12268681]],Urko Menaia,abeslari espainiarra
[[wikidata:Q12268749]],Urtz,euskal rock taldea
[[wikidata:Q110739932]],Vulk,Bilboko post punk musika taldea
[[wikidata:Q12268981]],Willis Drummond,Baionako musika taldea
[[wikidata:Q3121604]],Xabi Aburruzaga,musikari espainiarra
[[wikidata:Q57338914]],Xabi Bandini,nafar abeslaria
[[wikidata:Q54933362]],Xabier Crehuet,Ordiziako abeslaria
[[wikidata:Q3091084]],Xabier Lete,euskal idazle eta abeslaria
[[wikidata:Q9096476]],Xabier Montoia,euskal idazlea eta musikaria
[[wikidata:Q12269044]],Xabier Saldias,abeslari gipuzkoarra
[[wikidata:Q60554604]],Xaximiku,euskal folk taldea
[[wikidata:Q47549309]],Yogurinha Borova,"Drag queen, abeslaria"
[[wikidata:Q12269182]],Zaldibobo,euskal folk-rock taldea
[[wikidata:Q3394022]],Zarama,euskal rock taldea
[[wikidata:Q12269247]],Ze Esatek!,"Ska, rock eta reggae musika egin zuen euskal taldea (2009-2019)"
[[wikidata:Q110739866]],Zeker,Elorrioko musika taldea
[[wikidata:Q79326958]],Zetak,Nafarroako musika taldea
