1,-Gailu,,1997,Andoain (Gipuzkoa),"['Rocka', 'Elektronikoa']",https://www.badok.eus/euskal-musika/gailu
2,121 Krew,"Euskal rap eszenaren talde beteranoenetakoa da 121 Krew. Barakaldo (Bizkaia) eta Bilbokoak dira taldekideak: Endika Lahaine (MC), Lamá (MC), Hawa (beatmakerra), Rufoh (beatboxerra, MC), Maisha (MC, beatmakerra) eta David Nanclares (gitarrista, beatmakerra). Taldea 2016an desegin zen.",2000 - 2016,"Barakaldo, Bilbo",['Rapa'],https://www.badok.eus/euskal-musika/121-krew
4,2 Princeses Barbudes,,,Herrialde Katalanak,['Popa'],https://www.badok.eus/euskal-musika/2%20Princeses%20Barbudes
5,22m2,,2013 - 2017,Bilbo,['Pop-rocka'],https://www.badok.eus/euskal-musika/22-m-2
6,2zio,,2012,Urruña (Lapurdi),['Rapa'],https://www.badok.eus/euskal-musika/2zio
8,4 Itzal,,2001 - 2004,,['Rocka'],https://www.badok.eus/euskal-musika/4-itzal
10,6nemen9,,1992 - 1998,Elgoibar (Gipuzkoa),"['Popa', 'Rocka']",https://www.badok.eus/euskal-musika/6nemen9
13,A Tuti Plain,,2016,Soraluze (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/a-tuti-plain
15,Abaunz,"Xabier Bastida Uzinen elektronika proiektua da Abaunz. Bere lehen diskoa, ‘Ilunpean arnas hotsa entzuten’, New Yorkeko Jollies zigiluak kaleratu du.",1981,Azkoitia (Gipuzkoa),"['Elektronikoa', 'Esperimentala']",https://www.badok.eus/euskal-musika/abaunz
16,Abereh,"Erik Berganzak bakarka aritzeko aukeratu duen ezizena da Abereh. 2016-2017 urteetan egindako zazpi kantuk osatzen dute bere lehen diskoa. Zarata eta burrunbatik aldenduta baina distortsioa guztiz baztertu gabe, rock edo grunge akustikoa jorratu du Berganzak. Bere hitzetan, “J Mascis, Lou Barlow, Kurt Vile, Califone, David Bazan, Jeremy Enigk, Brian Fallon, Chuck Ragan, Dinosaur Jr, Husker Dü
 dezente entzun ondoren argia ikusi duten kantuak dira”.",1989,Balmaseda (Bizkaia),['Rocka'],https://www.badok.eus/euskal-musika/abereh
18,Acto Messie,,,Hondarribia (Gipuzkoa),['Rapa'],https://www.badok.eus/euskal-musika/acto-messie
21,Adi Holden,"Ama Say taldearen kantu batetik hartu zuten izena Adi Holdenekoek. Lau kideetatik hiruk Cool Panic punk-rock taldean jotzen zuten, baina Adi Holdenekin pop-rock, noise eta post-rock doinuetara jo zuten. 2008an Debagoienako talde onenaren saria irabazi zuten Danbaka Lehiaketan, eta horren ondorioz lehen diskoa, eta bakarra, argitaratu zuten 2010. urtean.",2007,Bergara (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/adi-holden
22,Adi!,,2016 - 2021,Tolosa (Gipuzkoa),['Jazz-rocka'],https://www.badok.eus/euskal-musika/adi
23,Adikune,,2002,Donostia,['Post-hardcorea'],https://www.badok.eus/euskal-musika/adikune
25,Adrenalized,,,,"['Hardcorea', 'Punka']",https://www.badok.eus/euskal-musika/adrenalized
27,Afrika Bibang,,1975,Getxo (Bizkaia),['Soula'],https://www.badok.eus/euskal-musika/afrika
28,Afu,,2007,Barañain (Nafarroa),"['Rocka', 'Reggaea']",https://www.badok.eus/euskal-musika/afu
29,Agara,,,Bera (Nafarroa),['Rocka'],https://www.badok.eus/euskal-musika/agara
30,Agian,,,"Laudio (Araba), Basauri, Galdakao (Bizkaia)","['Metala', 'Rocka']",https://www.badok.eus/euskal-musika/agian
31,Agirreak,,2019,,['[]'],https://www.badok.eus/euskal-musika/agirreak
32,Agur,,2022,,['Rocka'],https://www.badok.eus/euskal-musika/agur
33,Agurtzane eta Ion Elustondo,,,Legazpi (Gipuzkoa),"['Folka', 'Trikitia', 'Triki-popa']",https://www.badok.eus/euskal-musika/elustondo
34,Aguxtin Alkhat,,1982,Armendaritze (Nafarroa Beherea),['Pop-rocka'],https://www.badok.eus/euskal-musika/aguxtin-alkhat
35,Ahaztu Antzean,,1983,Eibar (Gipuzkoa),['Punka'],https://www.badok.eus/euskal-musika/ahaztu-antzean
36,Aho Zakil Konekxion,"Aho Zakil Konekxion Zugarramurdin muntatu den punk taldea da. 2019an sortu zen hirukotea, Zugarramurdiko Olivier Harotzarene (aita) gitarran, Senpereko Arno Harotzarene (semea) baterian eta Mattin Oronoz saratarra ahotsean. Taldea sortu zen Sarako Gaztexearen 30 urteentzat joko zutela apustua eginez! Horren ondotik, Azkainetik etorria den Mikel Inda sartu zen taldean, baterian, eta Arnok baxua hartu zuen.",2019,Zugarramurdi (Nafarroa),['Punka'],https://www.badok.eus/euskal-musika/aho-zakil-konekxion
37,Ahuntzape,,,Mendillorri (Nafarroa),['Ska-rocka'],https://www.badok.eus/euskal-musika/ahuntzape
38,Ain_1,"Musika eta poesia irakurtaldi bat eskaintzeko asmoz sortu zen Ain_1 Arrasaten (Gipuzkoa), baina musika tresna eta partaide berriak sartuz ahala hazten joan da dantza, ikus-entzunezko baliabide eta agertoki bakoitzaren araberako elementuekin osatutako egitasmoa. Maialen Madariaga, Ainara Kortabarria, Itxaso Nabaridas, Iraitz Agirre eta Amaia Pavon dira taldekideak. Doinu malenkoniatsuek, berbaren garrantziak eta dantzaren adierazkortasunak emankizun ezberdin bat osatzen dute, leku goxo eta txikietan antzezteko egokia.",2007,,"['Folka', 'Popa']",https://www.badok.eus/euskal-musika/ain_1
