1,-Gailu,,1997,Andoain (Gipuzkoa),"['Rocka', 'Elektronikoa']",https://www.badok.eus/euskal-musika/gailu,Q117352275
2,121 Krew,"Euskal rap eszenaren talde beteranoenetakoa da 121 Krew. Barakaldo (Bizkaia) eta Bilbokoak dira taldekideak: Endika Lahaine (MC), Lamá (MC), Hawa (beatmakerra), Rufoh (beatboxerra, MC), Maisha (MC, beatmakerra) eta David Nanclares (gitarrista, beatmakerra). Taldea 2016an desegin zen.",2000 - 2016,"Barakaldo, Bilbo",['Rapa'],https://www.badok.eus/euskal-musika/121-krew,Q12252420
3,2 Kate,,1997 - 2000,Zarautz (Gipuzkoa),"['Elektronikoa', 'Industriala']",https://www.badok.eus/euskal-musika/2-kate,Q117352415
4,2 Princeses Barbudes,,,Herrialde Katalanak,['Popa'],https://www.badok.eus/euskal-musika/2%20Princeses%20Barbudes,Q117352455
6,2zio,,2012,Urruña (Lapurdi),['Rapa'],https://www.badok.eus/euskal-musika/2zio,Q25474648
7,30%,,,Andoain (Gipuzkoa),['Hardcorea'],https://www.badok.eus/euskal-musika/30,Q11187554
8,4 Itzal,,2001 - 2004,,['Rocka'],https://www.badok.eus/euskal-musika/4-itzal,Q12252671
10,6nemen9,,1992 - 1998,Elgoibar (Gipuzkoa),"['Popa', 'Rocka']",https://www.badok.eus/euskal-musika/6nemen9,Q31188101
11,Ødei,"2zio taldearekin hiru disko kaleratu eta taldea desegin ondoren, bere bakarkako ibilbideari ekin dio raperoak. Lan berri honek ez du batere aitzinetik plazaratutako lanen kutsurik, trap eta drill erritmika eta soinu-estetika berriarekin dator. Rapero soil izatetik bere buruarentzako musika ekoizle izatera pasa da ØDEI eta berak eta Jo Olaskuagak osatzen duten Alkimia Prod-enak dira diskoan dauden musika ekoizpen guztiak.",1988,Urruña (Lapurdi),['Rapa'],https://www.badok.eus/euskal-musika/odei,Q54823844
12,Üther,,,Ondarroa (Bizkaia),['Hardcorea'],https://www.badok.eus/euskal-musika/uther,Q97207345
15,Abaunz,"Xabier Bastida Uzinen elektronika proiektua da Abaunz. Bere lehen diskoa, ‘Ilunpean arnas hotsa entzuten’, New Yorkeko Jollies zigiluak kaleratu du.",1981,Azkoitia (Gipuzkoa),"['Elektronikoa', 'Esperimentala']",https://www.badok.eus/euskal-musika/abaunz,Q435410
16,Abereh,"Erik Berganzak bakarka aritzeko aukeratu duen ezizena da Abereh. 2016-2017 urteetan egindako zazpi kantuk osatzen dute bere lehen diskoa. Zarata eta burrunbatik aldenduta baina distortsioa guztiz baztertu gabe, rock edo grunge akustikoa jorratu du Berganzak. Bere hitzetan, “J Mascis, Lou Barlow, Kurt Vile, Califone, David Bazan, Jeremy Enigk, Brian Fallon, Chuck Ragan, Dinosaur Jr, Husker Dü
 dezente entzun ondoren argia ikusi duten kantuak dira”.",1989,Balmaseda (Bizkaia),['Rocka'],https://www.badok.eus/euskal-musika/abereh,Q37804669
18,Acto Messie,,,Hondarribia (Gipuzkoa),['Rapa'],https://www.badok.eus/euskal-musika/acto-messie,Q85966634
20,Addar,"Bizkaiko laukoteak Eskandinaviako rock-and-rollaren kutsuko abestiak bildu ditu bere lehen disko laburrean. Hitzei dagokienez, zekenkeria, egozentrismoa, pasioa, beldurra nahiz itxaropena bezalako gaiak ditu ardatz.",2018,Bermeo (Bizkaia),"['Rocka', 'Rock&rolla']",https://www.badok.eus/euskal-musika/addar,Q5523693
21,Adi Holden,"Ama Say taldearen kantu batetik hartu zuten izena Adi Holdenekoek. Lau kideetatik hiruk Cool Panic punk-rock taldean jotzen zuten, baina Adi Holdenekin pop-rock, noise eta post-rock doinuetara jo zuten. 2008an Debagoienako talde onenaren saria irabazi zuten Danbaka Lehiaketan, eta horren ondorioz lehen diskoa, eta bakarra, argitaratu zuten 2010. urtean.",2007,Bergara (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/adi-holden,Q31188068
22,Adi!,,2016 - 2021,Tolosa (Gipuzkoa),['Jazz-rocka'],https://www.badok.eus/euskal-musika/adi,Q61362727
23,Adikune,,2002,Donostia,['Post-hardcorea'],https://www.badok.eus/euskal-musika/adikune,Q12252789
24,Ados,,2002,Iruñea,"['Popa', 'Elektronikoa', 'Dance']",https://www.badok.eus/euskal-musika/ados,Q31189065
25,Adrenalized,,,,"['Hardcorea', 'Punka']",https://www.badok.eus/euskal-musika/adrenalized,Q61361424
26,Adrian Perez,,1960,Donostia,['Kantautorea'],https://www.badok.eus/euskal-musika/adrian-perez,Q40886356
27,Afrika Bibang,,1975,Getxo (Bizkaia),['Soula'],https://www.badok.eus/euskal-musika/afrika,Q12252830
28,Afu,,2007,Barañain (Nafarroa),"['Rocka', 'Reggaea']",https://www.badok.eus/euskal-musika/afu,Q45695186
29,Agara,,,Bera (Nafarroa),['Rocka'],https://www.badok.eus/euskal-musika/agara,Q13482084
30,Agian,,,"Laudio (Araba), Basauri, Galdakao (Bizkaia)","['Metala', 'Rocka']",https://www.badok.eus/euskal-musika/agian,Q159967
32,Agur,,2022,,['Rocka'],https://www.badok.eus/euskal-musika/agur,Q30348290
34,Aguxtin Alkhat,,1982,Armendaritze (Nafarroa Beherea),['Pop-rocka'],https://www.badok.eus/euskal-musika/aguxtin-alkhat,Q61117315
38,Ain_1,"Musika eta poesia irakurtaldi bat eskaintzeko asmoz sortu zen Ain_1 Arrasaten (Gipuzkoa), baina musika tresna eta partaide berriak sartuz ahala hazten joan da dantza, ikus-entzunezko baliabide eta agertoki bakoitzaren araberako elementuekin osatutako egitasmoa. Maialen Madariaga, Ainara Kortabarria, Itxaso Nabaridas, Iraitz Agirre eta Amaia Pavon dira taldekideak. Doinu malenkoniatsuek, berbaren garrantziak eta dantzaren adierazkortasunak emankizun ezberdin bat osatzen dute, leku goxo eta txikietan antzezteko egokia.",2007,,"['Folka', 'Popa']",https://www.badok.eus/euskal-musika/ain_1,Q31188015
39,Ainara Legardon,,,Bilbo,"['Rocka', 'Esperimentala']",https://www.badok.eus/euskal-musika/ainara-legardon,Q12252922
40,Ainara Ortega,,1981,Hernani (Gipuzkoa),['Jazza'],https://www.badok.eus/euskal-musika/ainara-ortega,Q61433627
42,Ainhoa Larrañaga,,2000,Hernani (Gipuzkoa),['Popa'],https://www.badok.eus/euskal-musika/ainhoa-larranaga,Q60607868
44,Aire Ahizpak,,,,"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/aire-ahizpak,Q20492318
