Andoain: Q1598976
Barakaldo: Q487801
Bilbo: Q37166526
Zarautz: Q147774
Herrialde Katalanak: None
Urruña: None
Elgoibar: Q24001637
Ondarroa: Q595283
Soraluze: Q118153808
Gasteiz: Q53155438
Azkoitia: Q793934
Balmaseda: Q4480
Hondarribia: Q492312
Bermeo: Q695444
Bergara: Q1382252
Tolosa: Q497801
Donostia: Q57669050
Iruñea: None
Getxo: Q492420
Barañain: None
Bera: Q818675
Laudio: Q3381376
Basauri: Q765496
Galdakao: Q1227388
Legazpi: Q1113716
Armendaritze: None
Eibar: Q496567
Zugarramurdi: Q1643583
Mendillorri: Q3015620
Hernani: Q1441329
Gernika: Q189848
Zornotza: Q95630408
Irurtzun: Q674117
Miarritze: None
Oiartzun: Q911092
Urretxu-Zumarraga: None
Hazparne: None
Baiona: Q748867
Irunberri: None
Altzürükü: None
Donapaleu: None
Zubieta: Q1643571
Gipuzkoa: Q95010
Usurbil: Q1633909
Irun: Q200201
Astigarraga: Q1639355
Pasaia: Q847127
Durango: Q79918
Leioa: Q530302
Mutriku: Q1618305
Ordizia: Q672483
Arrasate: None
Arrangoitze: None
Zestoa: None
Oñati: Q496588
Elorrio: Q1242382
Busturia: Q1242317
Bizkaia: Q95614221
Iruñerria: None
Muskiz: Q607474
Errenteria: Q681893
Lasarte-Oria: Q932766
Beasain: Q847130
Bolibar: Q95614248
Nafarroa: Q6557387
Bartzelona: Q29976333
Angelu: Q27909226
Arbizu: Q1645754
Mungia: Q1228780
Gernika-Lumo: Q24016799
Aduna: Q576753
Orio: Q1649616
Lekunberri: Q1773037
Ataun: Q1619442
Zaldibia: Q1618289
Bordele: None
Arrigorriaga: Q283607
Zumaia: Q229659
Villabona: Q672876
Ainhize-Monjolose: None
Ziburu: None
Lazkao: Q932872
Abadiño: Q744893
Santurtzi: Q917886
Doneztebe: Q107207639
Mallabia: Q1227994
Ermua: Q1242400
Maruri-Jatabe: Q678721
Azpeitia: Q180611
Igorre: Q779046
Lezo: Q1649625
Donibane Garazi: None
Lekeitio: Q1227965
Hendaia: None
Agurain: Q117244943
Irulegi: Q66134753
Portugalete: Q548441
Itsasu: None
Lesaka: Q1647457
Ereñotzu: Q12257018
Urdiñarbe: None
Bakio: Q804466
Arabako Errioxa: None
Aretxabaleta: Q935603
Ugao: Q113481768
Meñaka: Q647357
Kanbo: Q26438275
Algorta: Q29353
Baigorri: Q48008135
Azpeitia-Zarautz: None
Allotz: Q108804355
Altzaga: Q1639435
Arratia: Q37095183
Artea: Q1242330
Aia: Q1631163
Beskoitze -Bilbo: None
Sestao: Q909707
Nafarroa Beherea: None
Berriz: Q747628
Donibane Lohizune: None
Ea: Q1228081
Zizur: None
Gares: Q3098284
Amurrio: Q481760
Luhuso: None
Uharte: Q52717504
Oztibarre: None
Tafalla: Q820224
Durangaldea: Q615017
Zeanuri: Q169332
Iruñea-Donostia-Bilbo: None
Tarragona: Q15088
Uribe Kosta: None
Markina-Xemein: Q604810
Lapurdi: None
Behe Nafarroa: None
Urduña: None
Urizahar: None
Enkarterri: Q582166
Urretxu: Q904269
Caracas: Q1533
Senpere: Q95629643
Trapagaran: Q8343805
Aramaio: Q976743
Zizurkil: Q1618316
Lizarra: Q108136582
Laukiz: Q1246777
Zumarraga: Q844508
Elizondo: Q3051309
Errezil: Q964114
Aldude: Q106878106
Larrabetzu: Q784127
Arrokiaga: None
Gabadi: Q61385614
Muxika: Q664870
Anoeta: Q1640537
Etxarri-Aranatz: Q29975427
Oiartzun -Donostia: None
Bortziriak: Q2606207
Usansolo: None
Lezama: Q946068
Baztan: Q641755
Leitza: Q1648056
Lizartza: Q1633857
Antzuola: Q1625886
Biana: Q18443625
Bastida: Q36884902
Muskildi: None
Urnieta: Q1633844
Etxebarri: Q1228107
Larraintzar: Q3217987
Lemoa: Q1227196
Ziburu-Donibane Lohizune: None
Zorrotza: Q3497419
Barkoxe: None
Arrosa: Q20491623
Altzo: Q1639371
Ezkerraldea: None
Landibarre: None
Mendaro: Q629193
Burlata: Q24012487
Behorlegi: None
Malerreka: Q2606221
Idiazabal: Q1619118
Gotaine-Iribarne: None
Uztaritze -Tolosa: None
Hego Uribe: Q3129383
Donibane Lohitzune: None
Donibane-Loitzune: None
Amsterdam: Q727
Atarrabia: Q95077577
Lizarraldea: None
Dima: Q663530
Getaria: Q849330
Oronoz: Q37274420
Beskoitze: None
Azkaine: None
Madril: Q37467619
Ezpeleta: Q36891962
Maule: Q751559
Berlin: Q64
Amaiur: Q452571
Larraga: Q1647936
Legorreta: Q1639412
Getari: None
Antsoain: Q110605210
Sara: Q833345
Olazti: Q12265097
Altsasu: Q100257363
Ibarrangelu: Q1227981
Elantxobe: Q735451
Anhauze: None
Sakana: Q2476592
Zuraide: None
Urepele: None
Lekaroz: Q3229254
Sopuerta: Q1228749
Iraizotz: Q3154258
Mundaka: Q786126
Donibane-Ziburu: None
